2025-04-18 11:33:21,528 cpu usage:10.0, memory usage:25.4, disk usage:84.8, battery percent:100.0, uptime :2 hours, 16 minutes and 33.1 seconds
2025-04-18 11:33:41,529 cpu usage:3.7, memory usage:25.4, disk usage:84.8, battery percent:100.0, uptime :2 hours, 16 minutes and 53.1 seconds
2025-04-18 11:33:56,679 cpu usage:7.7, memory usage:25.3, disk usage:84.8, battery percent:100.0, uptime :2 hours, 17 minutes and 8.25 seconds
2025-04-18 11:34:16,681 cpu usage:4.9, memory usage:26.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 17 minutes and 28.25 seconds
2025-04-18 11:34:36,682 cpu usage:4.0, memory usage:25.7, disk usage:84.8, battery percent:100.0, uptime :2 hours, 17 minutes and 48.25 seconds
2025-04-18 11:34:56,684 cpu usage:4.1, memory usage:26.2, disk usage:84.8, battery percent:100.0, uptime :2 hours, 18 minutes and 8.25 seconds
2025-04-18 11:35:16,685 cpu usage:3.0, memory usage:26.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 18 minutes and 28.25 seconds
2025-04-18 11:35:36,686 cpu usage:3.6, memory usage:26.0, disk usage:84.8, battery percent:100.0, uptime :2 hours, 18 minutes and 48.25 seconds
2025-04-18 11:35:56,687 cpu usage:3.8, memory usage:25.8, disk usage:84.8, battery percent:100.0, uptime :2 hours, 19 minutes and 8.26 seconds
2025-04-18 11:36:16,689 cpu usage:3.5, memory usage:26.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 19 minutes and 28.26 seconds
2025-04-18 11:36:36,690 cpu usage:4.0, memory usage:26.3, disk usage:84.8, battery percent:100.0, uptime :2 hours, 19 minutes and 48.26 seconds
2025-04-18 11:36:56,691 cpu usage:3.2, memory usage:25.8, disk usage:84.8, battery percent:100.0, uptime :2 hours, 20 minutes and 8.26 seconds
2025-04-18 11:37:16,693 cpu usage:3.6, memory usage:25.8, disk usage:84.8, battery percent:100.0, uptime :2 hours, 20 minutes and 28.26 seconds
2025-04-18 11:37:36,694 cpu usage:3.5, memory usage:26.0, disk usage:84.8, battery percent:100.0, uptime :2 hours, 20 minutes and 48.26 seconds
2025-04-18 11:37:56,696 cpu usage:4.2, memory usage:26.0, disk usage:84.8, battery percent:100.0, uptime :2 hours, 21 minutes and 8.26 seconds
2025-04-18 11:38:16,697 cpu usage:3.0, memory usage:26.0, disk usage:84.8, battery percent:100.0, uptime :2 hours, 21 minutes and 28.27 seconds
2025-04-18 11:38:36,698 cpu usage:3.0, memory usage:25.9, disk usage:84.8, battery percent:100.0, uptime :2 hours, 21 minutes and 48.27 seconds
2025-04-18 11:38:56,699 cpu usage:3.5, memory usage:26.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 22 minutes and 8.27 seconds
2025-04-18 11:39:16,701 cpu usage:3.1, memory usage:26.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 22 minutes and 28.27 seconds
2025-04-18 11:39:36,702 cpu usage:3.4, memory usage:26.3, disk usage:84.8, battery percent:100.0, uptime :2 hours, 22 minutes and 48.27 seconds
2025-04-18 11:39:56,703 cpu usage:3.6, memory usage:26.2, disk usage:84.8, battery percent:100.0, uptime :2 hours, 23 minutes and 8.27 seconds
2025-04-18 11:40:16,704 cpu usage:4.8, memory usage:27.0, disk usage:84.8, battery percent:100.0, uptime :2 hours, 23 minutes and 28.27 seconds
